Nome;AnoNascimento;Instrumentos;Pais;Afiliacoes
Brian Jones;1942;Guitarra, gaita, piano, vocal, teclado;Reino Unido;The Rolling Stones
Bill Wyman;1936;Baixo;Reino Unido;The Rolling Stones, Bill Wyman's Rhythm Kings
Ian Stewart;1938;Teclado, piano;Reino Unido;The Rolling Stones
Mick Taylor;1949;Guitarra, contra-baixo, violão, teclado, percussão;Reino Unido;Bluesbreakers, The Rolling Stones
Charlie Watts;1941;Bateria;Reino Unido;The Rolling Stones
Mick Jagger;1943;Vocal, guitarra, piano, baixo, violão;Reino Unido;The Rolling Stones
Keith Richards;1943;Guitarra, piano, contra-baixo, violão;Reino Unido;The Rolling Stones
Ron Wood;1947;Guitarra, bateria, piano, violão;Reino Unido;The Jeff Beck Group, The Faces, The Rolling Stones
Tony Iommi;1948;Guitarra;Reino Unido;Black Sabbath, Heaven & Hell, Jethro Tull
Geezer Butler;1949;Baixo, teclados, guitarra;Reino Unido;Black Sabbath, GZR, Geezer Butler Band, Ozzy Osbourne, Heaven and Hell, Rare Breed, Device
Ozzy Osbourne;1948;Vocal;Reino Unido;Black Sabbath
Bill Ward;1948;Bateria;Reino Unido;Black Sabbath
Dave Walker;1945;Vocais, guitarra, harmônica;Reino Unido;The Idle Race, Fleetwood Mac, Savoy Brown, Black Sabbath
Ronnie James Dio;1942;Vocais, baixo, teclados, trompete;EUA;Dio, Black Sabbath, Elf, Hear 'n Aid, Rainbow, Heaven & Hell, Tenacious D, Andreas Kisser
Geoff Nicholls;1948;Teclados, baixo, guitarra, vocais;Reino Unido;Black Sabbath, Quartz
Vinny Appice;1957;Bateria, percussão;EUA;Last in Line, Resurrection Kings, Rick Derringer, Axis, Black Sabbath, Dio, Hear 'n Aid, Flesh & Blood, World War III, Heaven & Hell
Tony Iommi;1948;Guitarra;Reino Unido;Black Sabbath, Heaven & Hell, Jethro Tull
Ian Gillan;1945;Vocal;Reino Unido;The Javelins, Episode Six, Deep Purple, Ian Gillan Band, Black Sabbath
Bev Bevan;1944;Bateria, percussão, vocal;Reino Unido;The Move, Electric Light Orchestra, Black Sabbath
Ron Keel;1961;Vocal;EUA;Ron Keel Band, Keel , Steeler, Saber Tiger, Black Sabbath
David Donato;1964;Vocal;EUA;White Tiger, Black Sabbath
Jeff Fenholt;1950;Vocal;EUA;Joshua, Rondinelli, Black Sabbath
Eric Singer;1958;Bateria, percussão, vocais;EUA;Kiss, Alice Cooper, Eric Singer Project, Black Sabbath, Avantasia, Lita Ford, Gary Moore, Badlands
Dave Spitz;1958;Baixo, guitarra;EUA;Black Sabbath, Impellitteri, White Lion, Great White
Glenn Hughes;1951;Vocal, baixo, guitarra, teclados;Reino Unido;Finders Keepers, Trapeze, Deep Purple, Gary Moore, Black Sabbath, Phenomena
Ray Gillen;1959;Vocal, harmônica;EUA;Black Sabbath, Badlands, Phenomena, Blue Murder
Bob Daisley;1950;Baixo;Austrália;Black Sabbath , Rainbow , Gary Moore , Chicken Shack, Uriah Heep
Tony Martin;1957;Vocal, guitarra, baixo, bateria, sintetizador, violino, teclado, harmônica, gaita de fole;Reino Unido;Black Sabbath, Blue Murder, Cozy Powell's Hammer, Phenomena, Rondinelli
