ID;Sex;Population;Season;Thorax;Abd;ThoraxAbd
Q01;f;CR;Summer;0,0197;0,0259;0,0454
Q02;f;CR;Summer;0,0388;0,0347;0,0734
Q03;f;CR;Summer;0,0436;0,0514;0,0949
Q04;f;CR;Summer;0,0385;0,0322;0,0705
Q04_2;f;CR;Summer;0,0265;0,0261;0,0525
Q05;f;CR;Summer;0,0208;0,0256;0,0465
Q07;f;CR;Summer;0,0401;0,0399;0,0801
Q08;f;CR;Summer;0,0399;0,0369;0,0772
Q10;f;CR;Summer;0,0342;0,0309;0,0653
Q15;f;CR;Summer;0,0313;0,0629;0,0949
Q23;f;CR;Summer;0,0513;0,0577;0,1097
Q25;f;CR;Summer;0,0544;0,0689;0,1236
Q27;f;CR;Summer;0,0328;0,0321;0,0652
Q33;f;CR;Summer;0,0385;0,0608;0,0996
Q35;f;CR;Summer;0,0373;0,0463;0,0833
Q38;f;CR;Summer;0,0377;0,0393;0,0769
Q40;f;CR;Summer;0,03;0,054;0,0833
Q104;f;CR;Summer;0,0382;0,0462;0,0848
Q105;f;CR;Summer;0,0417;0,057;0,0987
Q111;f;CR;Summer;0,0435;0,0378;0,0818
Q117;f;CR;Summer;0,0481;0,047;0,0948
Q120;f;CR;Summer;0,0313;0,0381;0,0704
Q122;f;CR;Summer;0,0404;0,0459;0,0868
Q159;f;CR;Summer;0,0344;0,0275;0,0618
Q76;f;CR;Summer;0,0386;0,0423;0,0812
Q91;f;CR;Summer;0,0393;0,0478;0,0873
Q93;f;CR;Summer;0,0406;0,0469;0,0895
Q98;f;CR;Summer;0,0433;0,0593;0,103
Q99;f;CR;Summer;0,0292;0,0445;0,0742
Q06;m;CR;Summer;0,0556;0,0448;0,1004
Q11;m;CR;Summer;0,0261;0,0285;0,0546
Q22;m;CR;Summer;0,0377;0,0231;0,0607
Q24;m;CR;Summer;0,0546;0,0519;0,1067
Q32;m;CR;Summer;0,0312;0,0187;0,0503
Q37;m;CR;Summer;0,0434;0,0351;0,0783
