ano;mes;tempmaxabs;tempminabs;tempmaxmensal;tempmenmensal;tempmeda;ETP;precipitacao;DCCH
1991;janeiro ;29,4;19,4;29,4;19,9;24,6;134;278,2;18
1991;fevereiro ;29,4;20,2;29,4;20,2;24,8;124;225;16
1991;março ;29,6;19,3;29,3;19,6;24,5;117;248,3;13
1991;abril ;29,5;16,5;29,5;16,5;23;86;222,5;10
1991;maio ;27,4;13,9;27,4;13,9;20,7;67;50,7;5
1991;junho ;27,6;14,1;27,6;14,1;20,9;60;6;1
1991;julho ;28,1;6,6;25,8;11,1;18,4;57;9;4
1991;agosto ;33;6;29,3;13,1;21,2;76;0;0
1991;setembro ;34,6;11,6;30,3;14,3;22,3;92;53;4
1991;outubro ;35,3;11,7;30,3;16,6;23,5;114;59,4;9
1991;novembro ;35,5;13,2;32,1;17,4;24,7;137;48;8
1991;dezembro ;33,6;12,9;30,2;18;24,1;135;336,9;19
1992;janeiro ;32,6;16;29,7;18,3;24;133;235,6;17
1992;fevereiro ;33,1;15;28,9;16,7;22,8;107;182,6;17
1992;março ;32,2;14,8;28,8;16,6;22,7;104;179,3;20
1992;abril ;31,7;11;28,1;15;21,5;81;91,1;10
1992;maio ;29,8;11;26,9;13,7;20,3;66;87,4;8
1992;junho ;30,3;8,4;27,1;12,5;19,8;57;0;0
1992;julho ;31;6,4;26,8;10,9;18,8;58;10;1
1992;agosto ;33,6;6,3;27,5;12;19,7;71;14,3;3
1992;setembro ;30,8;10,1;26;13,7;19,8;82;169,6;15
1992;outubro ;32,5;12,3;29;15,3;22,2;107;201,5;16
1992;novembro ;33,6;11,9;28,9;15,7;22,3;112;177;17
1992;dezembro ;32,7;13;30,1;16,9;23,5;125;147,6;14
1993;janeiro ;34,9;17,3;30,4;18,7;24,6;142;172,1;17
1993;fevereiro ;30,3;16,3;28,1;18,1;23,1;105;427,6;22
1993;março ;34,6;16;30,8;18;24,4;117;212,1;12
1993;abril ;31,1;14;29;17,7;23,4;87;101,4;10
1993;maio ;29,5;11,8;26,5;14,6;20,6;67;73;5
1993;junho ;28,8;6,6;25;12,8;18,9;54;65,6;5
1993;julho ;30,8;9,2;26,5;13,1;19,8;61;0,6;1
1993;agosto ;34;5,8;27,2;12,9;20;72;43,2;6
1993;setembro ;34,2;12,6;29;16,6;22,8;95;87,2;11
1993;outubro ;34;9,6;30,5;18,2;24,4;124;88,6;9
1993;novembro ;35,5;15,5;32;19,7;25,9;149;169,2;6
1993;dezembro ;38,8;16,5;29,1;19,4;24,3;136;296,5;20
1994;janeiro ;32,8;16,2;28,1;19,3;23,7;131;320,2;24
1994;fevereiro ;33,8;15;31,6;19,5;25,6;133;58,1;11
1994;março ;31,5;14,9;29;18,8;23,9;114;161,3;18
1994;abril ;31;14,1;29,1;17,7;23,4;88;14,2;6
1994;maio ;32,3;11,6;27,9;15,6;21,8;71;81,2;5
1994;junho ;30,3;0,2;26,1;11,1;18,6;53;25,9;3
1994;julho ;31,7;0;27;11,5;19,3;59;14,1;3
1994;agosto ;34,3;5,4;29,8;12,4;21,1;76;0;0
1994;setembro ;36,6;10,6;33;16,5;24,7;113;1,4;1
1994;outubro ;37,5;16,6;32,9;19,7;26,3;147;91,1;10
1994;novembro ;36,3;14,9;30,6;19,3;24,9;138;273,5;15
1994;dezembro ;33,6;15,2;30,5;19,8;25,1;147;225,4;15
